iterations,likelihood,prior,lengths,phylogeny_mean,phylogeny_std,window_concentration,window_typical_fraction,omega_0,omega_20,omega_40,omega_60,omega_80,omega_100
250,1.115934553724057,1.698202735892068,1.6724386671761482,2.1050797044958167,3.465494005457158,1.1906848273398094,1.0374124714882524,1.0246347056551306,1.0426288423306607,1.025127479285051,1.0124671677961632,1.0242798551632326,1.0218732582077394
500,1.0625445874549069,1.3228167679477347,1.3020658107345138,1.9470693656016043,2.4614183669951633,1.118839818780441,1.0137944488947626,1.0130530031551055,1.0229814445516057,1.0335999383605305,1.013704559265295,1.0140344186469021,1.0142424961211982
750,1.0793220524989031,1.2415301139965838,1.2110599405229292,1.7500460730293081,2.0377298585778316,1.0677992230753646,1.0100618791233276,1.0295189671295073,1.0177070312736147,1.024799361214434,1.0242139570946065,1.0193262408767787,1.021073054444271
1000,1.11776514279356,1.2328316863075355,1.2128746737982845,1.618172869887635,1.5250791994822952,1.0534911791767323,1.0053279238589643,1.029354620142173,1.0147523253850552,1.027473570458573,1.022235361893638,1.0177255543222663,1.020439639371086
1250,1.0832568854879039,1.1856230317528387,1.1691103846219704,1.5230473897316594,1.4863553205799798,1.0570368753814268,1.0087398426555354,1.0187949244625971,1.0094740973686396,1.0214869807560027,1.0123560058719645,1.0114532290731721,1.0116028828105517
1500,1.0696467981878772,1.1406687085846574,1.1257694678382018,1.464814035629322,1.451535166866723,1.054037435156474,1.0061722409901652,1.0117338496800237,1.006270686951696,1.015328970480887,1.0080085547049429,1.0086117300675506,1.0069409238528562
1750,1.0586135801447503,1.0983324995898909,1.091638654954135,1.4074821514625557,1.3560517162675334,1.0432165498598782,1.0058517942830079,1.0082375850963745,1.0038223503661126,1.0118895148905946,1.0048610815252565,1.0058072725249827,1.004644342589833
2000,1.0590021208559757,1.0698784447887446,1.0637615823607247,1.33847805118333,1.366010406865449,1.0464981098698651,1.0085402912465633,1.0083570453939463,1.0057408490335198,1.0108937296312477,1.0036201894023014,1.0051629223454408,1.0050487414006921
2250,1.0665425529003185,1.0720513457676757,1.06516885276801,1.295976194023846,1.333943095825641,1.0615886748747327,1.0086306128844589,1.0082147339544505,1.0055832393430797,1.0100398842175122,1.003368948596881,1.00536451495578,1.0044768011059302
2500,1.058063249841255,1.0659878503855924,1.059107152844162,1.2953929525630967,1.263805504682269,1.0573140139452284,1.0052086881395434,1.0076788732866035,1.0049699626842226,1.0093831984936157,1.0024757753228957,1.0054181712932133,1.0041001091104342
2750,1.0499520083721317,1.0614350388350937,1.054689873382313,1.2709154200465633,1.2664249052566416,1.0478062695677937,1.0049842378955485,1.0057915795739716,1.0047477726734102,1.0090838419125168,1.0020027330321883,1.005146948097817,1.0055953964822868
3000,1.040569752737174,1.060513388649249,1.054390307962558,1.2454784868575886,1.2653350409272548,1.0412915773638418,1.005779440372378,1.004329126398111,1.0033198294248664,1.0074726088551615,1.001673037787466,1.003900915538387,1.0045028240572513
3250,1.0323512283788898,1.0500409838194165,1.046853685926226,1.2088180082237985,1.2200101932333804,1.040508753131865,1.00512204016643,1.0038135678220472,1.002920877744816,1.0056420061222284,1.001933105719565,1.0037041415554806,1.0038507379132549
3500,1.028268379700647,1.0498114897755062,1.0473405694056988,1.1961679227332909,1.1838925244140377,1.0376795740206148,1.0061627659708297,1.0038868733794954,1.003297327764377,1.0051249634801285,1.0020770987609349,1.0038236996363614,1.0037122659925923
3750,1.0252960883395383,1.0422891454194743,1.0397868289532166,1.1703746798439219,1.1814432219236455,1.0394518968712378,1.0062642629124547,1.004141813501624,1.0039782832665973,1.005784970077166,1.0022979217648667,1.0044410746836283,1.0035174223913303
4000,1.0197967639450565,1.0434800325986697,1.0407195572631083,1.1577692373305333,1.1666397082022804,1.0566606020210003,1.0066184345153544,1.003920517259211,1.0028485088636054,1.005828763987923,1.0022425443776335,1.003584792142451,1.0027942350632797
4250,1.0157638930640618,1.0344388891865415,1.0315034451687306,1.1458388602571472,1.146898936640341,1.0700741294229434,1.0063127404703633,1.0037494261242643,1.0028744286845348,1.0058023436397705,1.0018287545379303,1.003557966570072,1.0026470537629355
4500,1.017685771898812,1.0279610637802765,1.0245111201836838,1.141153309229763,1.1366494976988766,1.0674077116131955,1.0062498275204084,1.0043603707805269,1.0034604160598795,1.0050571052225603,1.0020192179295728,1.0039815033920754,1.003369694206272
4750,1.0199936645185743,1.0264350990984452,1.022781327252641,1.1197283686279034,1.1295348516320338,1.060808221991559,1.0063835494938964,1.0040122227572705,1.0033404356774442,1.004885198652451,1.0023218997798213,1.0035228944373813,1.0032779262841454
5000,1.024590462911123,1.025972416023785,1.0215900101678825,1.0997367124426687,1.126546822271358,1.053982200286943,1.0047736586431657,1.0042723040524715,1.0036485628739347,1.0044431399913583,1.0028930603100799,1.0038409677908198,1.0037075454214774
5250,1.0265722473124292,1.0237243547629697,1.0189518039794443,1.08555395816254,1.128709370095972,1.051237346778312,1.0043923938956707,1.003959884112948,1.0035631668744152,1.0042029330595537,1.0032966347264574,1.0038448698248317,1.0043449493753347
5500,1.026837704099136,1.0217644848309346,1.0173588585697386,1.0691081370643116,1.1293137958560733,1.0468883805466616,1.0035177425363275,1.0040786871885359,1.0030511125254913,1.0037053683142751,1.0035149294328332,1.0036533748369179,1.004209325100375
5750,1.025729476382944,1.0192797083445453,1.015254923142542,1.059597698537463,1.111379308857303,1.0431252466631924,1.0031926090327483,1.003860867127058,1.0026026270020651,1.0034885184364692,1.0034191164831345,1.0034546574919723,1.0036361056562177
6000,1.0279074051121033,1.0178002306433138,1.0146269653290565,1.0556214362380194,1.090098398823518,1.0390128176073314,1.002621904164044,1.0038200109033528,1.0027711451894705,1.0033429774763905,1.0039178777416249,1.0033947048322096,1.003562347714175
6250,1.0277638558270714,1.015036511377717,1.012692007320911,1.049028355679199,1.0820243287943205,1.0374697518738623,1.0024996543579172,1.0036307333645356,1.0030212093538553,1.002804930517382,1.0040843289676298,1.0032184652203218,1.0034534931955053
6500,1.0248661855867074,1.0132636879725005,1.012281744091869,1.0381710146371104,1.078512025351397,1.0345909101858577,1.002599777055534,1.0031536205522367,1.0032648408067482,1.0022063956643377,1.0041055250555821,1.0028343318600494,1.0030235744383666
6750,1.0243155285941004,1.0169817773294716,1.017597282681685,1.0306758006698562,1.0763038055230323,1.0330620293737285,1.0025517908138313,1.0028634207256764,1.0032660297270224,1.002355804973886,1.0039176216561185,1.0024814393894885,1.0027476734739666
7000,1.0226010315536391,1.01767542676133,1.0186669378316233,1.0243941553237945,1.0743540148260702,1.0297918553731777,1.0022564309474313,1.0029937124471653,1.0032888757344731,1.002536836111191,1.0036072863889387,1.0023097820940523,1.0027754219485412
7250,1.0223328639678873,1.0158609581312918,1.016910553691718,1.0199996289883928,1.0720986701414486,1.0265517521851666,1.0022609935843556,1.0031775668529685,1.003161126554949,1.0024797224648996,1.0033845144598632,1.002424568517849,1.0028320411977616
7500,1.0214872428468091,1.016492367785469,1.0175188291350594,1.0212481388491539,1.0693160041171281,1.0275384201424782,1.0024160812305962,1.0030637494803385,1.0029646859848182,1.0023988996238107,1.00290785690786,1.0020651479346645,1.0025936958469994
7750,1.019609615990164,1.0151520310763562,1.016183789484157,1.0213236880052798,1.0670454644364051,1.0256020665028978,1.0021764383730334,1.0029129947009217,1.0026719425276773,1.002316550636686,1.0024336059217152,1.0018583454401908,1.0025779224040412
8000,1.0200567896530055,1.0144776799356088,1.015422219137549,1.0187921491674607,1.0681372793999173,1.030869346923861,1.0023921750076332,1.0031704252162685,1.0023648555779276,1.0021757713594088,1.002343125094383,1.001793936052644,1.0027726076384484
8250,1.0178360242287332,1.0145080197662377,1.0154452372213196,1.017929546994175,1.0690966315158557,1.0306712036055006,1.0023844697046496,1.0028456882874777,1.0019841425083045,1.0018985996858847,1.0020230610670362,1.0014709635151489,1.0025370540474041
8500,1.015106298901628,1.0130799556863928,1.0139062329393962,1.0173753773186056,1.0683875417914153,1.0287229676213432,1.00231961686835,1.002526312049224,1.0020739280634436,1.0017595728174749,1.0015297959524028,1.001435954160851,1.0023189990016281
8750,1.0137932676696693,1.0148292593920893,1.0157821989859412,1.0161744491260483,1.0652613716882735,1.0276109469868129,1.0020655809941437,1.0025263069063208,1.0022817758699707,1.0016119471937093,1.0013279381918698,1.001344716435041,1.002147154484801
9000,1.01172931899121,1.0152343264478392,1.016436793030615,1.0137324102421368,1.0600093090611356,1.0254463669854899,1.0020004183091762,1.0023638784936784,1.0021697535662235,1.0014210332070066,1.0010523608869204,1.0011422229012599,1.00193590835237
9250,1.0100582788671757,1.014700885471682,1.015958993280099,1.0119527466258078,1.0581040899845569,1.0249186996589006,1.0021535611525836,1.0022877099163072,1.002335453944374,1.0014645123942398,1.0009739296588687,1.0011126095533345,1.001951127865449
9500,1.0089616167791682,1.0135434688768912,1.0143604401656023,1.0109051874193176,1.057705306354522,1.0242578301620817,1.0020179626042496,1.002220593204777,1.0025493973241184,1.0010024239639912,1.000926532592337,1.0011218751366,1.0019662300674257
9750,1.0079143830830604,1.014509152350271,1.015128956477692,1.0110170189149754,1.0559458838036566,1.0232880078865498,1.0020998990242194,1.002126261403425,1.0025530586833016,1.0007527100269915,1.0008720545146355,1.0010631263447798,1.0018678628949178
10000,1.007280592618715,1.0147305143106669,1.0153701016630703,1.0103312716366895,1.0515320832835822,1.022432659286076,1.0021525613292175,1.0020636916853989,1.0026439440675083,1.0006548816845917,1.000879490412805,1.0010535797260633,1.0018475008913394
10250,1.0062028179505143,1.0130389714693537,1.013742895945182,1.0097453336773348,1.0515549032779132,1.0201671252346058,1.0019652093780753,1.0019628192976118,1.0025559298686146,1.0005357155793115,1.0009389814145804,1.001003815935925,1.0017537520294446
10500,1.0056001402773458,1.012315898454316,1.0130896975632468,1.0086620518981413,1.0497687972372922,1.0198916967941167,1.0020905871131787,1.0018647473724187,1.0023127127835068,1.0004765936421864,1.0009946563876178,1.0009679359955885,1.001678121333864
10750,1.005196626092992,1.0110617395009083,1.011663256644722,1.0092361394146696,1.0471985550661895,1.0194198246114627,1.0018878559183688,1.0017607654218175,1.0020664123995788,1.0004915529055578,1.0009856294717454,1.0008845723465067,1.0016019189949488
11000,1.00575539172349,1.0120855167265874,1.012349759017804,1.0091760320320204,1.045604861623182,1.0188551534000974,1.00171268996196,1.0017125665256459,1.0021610962349388,1.0004711254854577,1.0011074634221686,1.000947578260579,1.0016388118787922
11250,1.0057136357713647,1.0137548816212258,1.0143520759319846,1.0086746508757887,1.0455462334263994,1.0174449292502414,1.0014366903837815,1.0013039652787825,1.002011733873584,1.0004587766776027,1.0011968641461766,1.0008578716220433,1.0016152804269864
11500,1.0053554160297076,1.0143048769429024,1.0148449517982219,1.0074580980322554,1.0479371156567656,1.017316147274079,1.001509498043189,1.0012711476046483,1.001839448338816,1.000485819100924,1.0011681806193937,1.0007203101308235,1.0015467152292654
11750,1.0050637209694122,1.0137006247425566,1.014237517979895,1.0061212177109984,1.0457413117969163,1.0162183253623058,1.001743464334998,1.001162953923674,1.0017316623796837,1.0004921758458378,1.0011848504776897,1.000633031385562,1.0013767744753308
12000,1.0050943077104966,1.0125271466509527,1.0130906915902136,1.0056698559893884,1.0438797473588621,1.0179040853461836,1.0018110053015494,1.0009808640181386,1.0015757616137102,1.0005982418568615,1.001227393554646,1.000513244116523,1.0013094763175665
12250,1.0045882327605227,1.0123969061568296,1.0128797563036025,1.0052285218599395,1.0432774162813065,1.019000907269135,1.0019009514293777,1.0008757624522273,1.0014266794763658,1.0006509780868325,1.0011198556782201,1.0004164533732665,1.0011349700826244
